"Connection Successful","Connection Successful"
"Connection Failed","Connection Failed"
"Enable SMTP For Email","Enable SMTP For Email"
"Either Hostname or IP address.","Either Hostname or IP address."
"Usually is 25, 587 or 465. Please consult with your service provider.","Usually is 25, 587 or 465. Please consult with your service provider."
"Connection Security","Connection Security"
"Authentication Method","Authentication Method"
"User","User"
"Password","Password"
"Test connection","Test connection"
